Quel est le rôle fondamental de l'Éducation permanente vis-à-vis du pouvoir politique ?,Elle agit comme un « contre-pouvoir » issu de la société civile.
"Selon les sources, que renforce l'Éducation permanente au sein de la société ?",Elle consolide le tissu associatif et les capacités d'expression de la société civile.
Comment l'Éducation permanente considère-t-elle chaque citoyen ?,Chaque personne est reconnue comme autrice et auteur de changement.
Quelle est la mission des associations d'Éducation permanente selon le Conseil Supérieur ?,Travailler au rapprochement entre les lieux de décision et les personnes.
Sur quel public l'Éducation permanente devrait-elle agir pour souligner les limites de l'efficacité à tout prix ?,Sur les citadins adeptes d'une consommation culturelle « jetable ».
En quelle année le CPCP (Centre Permanent pour la Citoyenneté et la Participation) a-t-il été reconnu ?,En 2010.
Quelle est la mission principale du CPCP en tant qu'ASBL ?,"Favoriser l'émergence d'une citoyenneté effective, informée, critique et résiliente."
Quels sont les trois pôles d'activité du CPCP ?,"L'Éducation permanente, la Formation et la Participation citoyenne."
Où se situent les deux antennes physiques du CPCP ?,À Bruxelles et à Namur.
Sur quelle thématique spécifique le CPCP oriente-t-il ses recherches en 2025 ?,La précarité extrême et le sans-abrisme.
Quel outil pédagogique le CPCP utilise-t-il pour transformer la citoyenneté en levier d'action ?,La ludification (ou l'usage du jeu).
Citez un exemple de jeu de coopération développé par le CPCP sur l'environnement.,Ogrenco.
Comment le CPCP définit-il l'acte d'évaluer dans ses projets ?,"Évaluer n'est pas contrôler, mais apprendre pour faire mieux."
Quelle est la proposition de valeur du profil « Civic-Low-Tech » pour le CPCP ?,Apporter une expertise technique sobre et valoriser l'expérience de la précarité.
"Dans la proposition de collaboration « Technologue Citoyen », quel est le besoin identifié du CPCP ?","Gérer la masse de données issue des processus participatifs (avis, votes)."
Quel type d'outils le « Technologue Citoyen » propose-t-il au CPCP ?,Une suite d'outils de participation « Low-Tech » basés sur le No-Code.
Quel est l'avantage du No-Code pour une ASBL comme le CPCP ?,Réduire la « dette technique » sans dépendre de plateformes propriétaires coûteuses.
En quoi consiste le rôle de « Médiateur de la Sobriété » proposé au CPCP ?,Produire une veille et des analyses sur les dérives et la fracture numériques.
Quelle est la mission de l'« Archiviste Asynchrone » au sein du CPCP ?,Valoriser et numériser les gisements de données historiques du Centre d'Archives.
Que signifie l'acronyme ECP dans le contexte de l'engagement citoyen ?,Économie Contributive Provisionnée.
Quel est l'objectif principal de l'ECP pour les publics précarisés ?,"Valoriser l'engagement citoyen sans perdre ses droits sociaux (BIM, RIS)."
Comment l'ECP transforme-t-elle le revenu pour protéger le contributeur ?,Elle transforme le revenu en un capital différé ou provisionné.
Quel mécanisme fiscal est utilisé pour sécuriser le modèle ECP en Belgique ?,Le ruling fiscal.
Quel coût sociétal passif annuel l'ECP ambitionne-t-elle de convertir en investissement actif ?,Environ $24$ milliards d'euros.
Qu'est-ce que le « CV citoyen » dans le cadre de l'ECP ?,Un outil de reconnaissance des compétences acquises par l'engagement bénévole.
Que signifie l'acronyme CCPLC ?,Collectif Citoyen pour la Participation Libre & Consciente.
Quel outil technique le CCPLC utilise-t-il pour assurer une transparence radicale ?,GitHub.
Sur quel modèle de gouvernance le CCPLC repose-t-il ?,Une gouvernance liquide ou distribuée (sans hiérarchie fixe).
Quel est l'objectif du CCPLC pour l'horizon 2026 ?,Devenir un acteur reconnu et agréé en Éducation permanente.
Comment le CCPLC définit-il l'accessibilité de ses contenus ?,Par l'usage du langage FALC (Facile à Lire et à Comprendre).
Quelle est la philosophie de l'Espace Commun de Participation (ECP) ?,Un sanctuaire hybride mêlant monde numérique et rencontres physiques.
Quel logiciel open source est souvent cité comme base pour les plateformes de participation ?,Decidim.
Qu'est-ce que le « vote quadratique » mentionné dans les projets de démocratie directe ?,Un mécanisme permettant d'exprimer l'intensité de ses préférences lors d'un vote.
"Dans le modèle ECP, comment appelle-t-on le fait de déléguer son expertise à un tiers de confiance ?",La délibération liquide.
Quel est le risque « extrême » identifié pour une association de fait sans structure juridique ?,La responsabilité illimitée des membres sur leurs biens personnels.
Quel est le montant approximatif du Revenu d'Intégration Sociale (RIS) pour un isolé en 2025 ?,"$1314,20$ euros."
Quelle est l'exonération socioprofessionnelle mensuelle pour un bénéficiaire du RIS débutant une formation ?,"$309,48$ euros."
Pourquoi le bénévolat doit-il être déclaré au CPAS pour un bénéficiaire du RIS ?,Parce que le CPAS doit vérifier que l'activité ne freine pas la réinsertion.
Qu'est-ce que le « Cordon Sanitaire Médiatique » en Belgique francophone ?,L'interdiction d'accès au direct pour les représentants de partis jugés liberticides.
Quelle est la différence majeure de traitement de l'extrême droite entre le Sud et le Nord de la Belgique ?,Le cordon médiatique existe au Sud mais a disparu au Nord (Flandre).
Définissez la « Loi de Brandolini ».,L'énergie nécessaire pour réfuter des faussetés est supérieure à celle pour les produire.
Qu'est-ce que l'« Entity Poisoning » dans le cadre de la guerre cognitive ?,Associer une cible à des concepts toxiques pour détruire sa réputation algorithmique.
Quel terme désigne la tactique consistant à dégrader les conditions de vie pour décourager les arrivées (ex: réfugiés) ?,La dissuasion humaine (human deterrence).
Comment appelle-t-on l'asymétrie de l'information utilisée comme arme de domination ?,La zone grise.
Qu'est-ce qu'un « Deepfake » ?,Une vidéo ou un son manipulé par IA pour usurper l'identité d'une personne.
Quel est l'objectif du jeu « Which Face Is Real ? » ?,Tester la capacité des humains à distinguer un visage réel d'un visage créé par IA.
Quel philosophe a inspiré le nouveau cours de culture écologique à Sciences Po ?,Pierre Charbonnier.
Définissez l'« Effet Mandela ».,Un faux souvenir partagé par un grand nombre de personnes.
