Quel est le nom de code de la méthode de détection mesurable par une cible précise via une indexation organisée ?,Le Lead-dexing.
Quelle philosophie de commandement prussienne est prônée pour opérer à la vélocité du cyberespace ?,L'Auftragstaktik (commandement de mission).
"Selon Byung-Chul Han, quel paradigme succède à la biopolitique en gérant les esprits par l'auto-exposition volontaire ?",La Psychopolitique.
Énoncez la Loi de Brandolini (principe d'asymétrie du baratin).,L'énergie nécessaire pour réfuter des idioties est supérieure d'un ordre de grandeur à celle nécessaire pour les produire.
"Dans le modèle 'The Stack' de Benjamin Bratton, quelles sont les six couches de l'architecture verticale ?","Terre, Cloud, Ville, Adresse, Interface, Utilisateur."
Quel journaliste de RTL-TVI a incarné le reportage controversé 'Sans boulot : tous fraudeurs ?',Christophe Deborsu.
Quelle unité spécifique du GRU russe est responsable d'attaques cybernétiques majeures comme NotPetya ?,L'unité Sandworm (ou Unité $74455$).
"Dans le cadre du 'trigger marketing', quel type d'événement peut déclencher une action de détection de leads ?",Un événement spécifique comme une levée de fonds ou une nouvelle embauche.
Définissez la technique de 'Negative SEO' nommée 'Entity Poisoning'.,Associer une entité à des concepts toxiques via des liens provenant de voisinages numériques douteux.
Comment se nomme l'architecture de maillage interne théorisée par Laurent Bourrelly pour concentrer la puissance algorithmique ?,Le Cocon Sémantique.
"En droit fiscal belge, quelle procédure permet de lier le SPF Finances sur un montage pour une durée de 5 ans ?",La décision anticipée (ou ruling).
Que signifie l'acronyme GEO dans le contexte de l'évolution du SEO vers les intelligences artificielles ?,Generative Engine Optimization.
Quel format de contenu Facebook possède une portée organique environ $1000$ fois supérieure au texte simple selon les tactiques de contagion ?,La vidéo de $60$ secondes.
Quelle coalition gouvernementale belge a porté la réforme mettant fin aux allocations de chômage illimitées en $2026$ ?,La coalition Arizona.
Définissez le concept de 'Dividende du Menteur' (Liar's Dividend).,La capacité d'un menteur à rejeter des preuves réelles en prétendant qu'il s'agit de deepfakes.
Quelle était la fonction pédagogique réelle du projet miHonyPOT ?,"Démontrer la vulnérabilité à la surveillance et la 'bavardise' des navigateurs (IP, User-Agent)."
Quel montant net mensuel total était attribué au ménage de 'Jacqueline' dans le reportage de Deborsu pour activer un sentiment d'injustice ?,$3\ 000$ €.
Pourquoi la qualification 'AISBL de fait' utilisée par le CCPLC est-elle un non-sens juridique ?,"Une AISBL requiert la personnalité juridique par Arrêté Royal, tandis qu'une association de fait n'en possède pas."
Combien de documents malveillants suffisent environ pour introduire un biais durable dans un Grand Modèle de Langage (LLM) ?,Environ $250$ documents.
Quels sont les trois piliers mesurés par l'Indice de Développement Humain (IDH) ?,"La santé, le niveau d'éducation et le niveau de vie."
Quelle tendance inédite l'IDH mondial a-t-il enregistrée en $2020$ et $2021$ ?,Une baisse historique de sa valeur mondiale.
Définissez la notion de 'sécurité humaine' introduite en $1994$.,"La capacité d'agir des individus pour façonner leur vie à l'abri de la peur, du besoin et de l'indignité."
