Quel concept fictionnel désigne l'organisation de son indexation pour être détecté de manière mesurable par une cible ?,Le Lead-dexing.
"Dans la doctrine prussienne, quel terme désigne le commandement de mission où le chef définit l'intention mais laisse la liberté tactique ?",L'Auftragstaktik.
"Selon Byung-Chul Han, quel paradigme remplace la biopolitique en gérant les esprits via l'auto-exposition volontaire ?",La Psychopolitique.
Quelle loi postule que l'énergie nécessaire pour réfuter des idioties est supérieure d'un ordre de grandeur à celle pour les produire ?,La Loi de Brandolini.
Comment Benjamin Bratton nomme-t-il le modèle d'architecture verticale en six couches remplaçant la géographie politique ?,The Stack.
Quelle unité du GRU russe est spécialisée dans les cyberattaques destructrices comme NotPetya ?,Sandworm (Unité 74455).
"Dans le marketing de signal, quelle approche déclenche des actions basées sur des événements spécifiques comme une levée de fonds ?",Le trigger marketing.
Quelle technique de Negative SEO vise à associer une entité à des concepts toxiques via des liens douteux ?,L'Entity Poisoning.
"Qui est le théoricien de l'architecture de site en ""cocon sémantique"" ?",Laurent Bourrelly.
"En droit belge, quelle procédure de décision anticipée lie le SPF Finances pour une durée de 5 ans ?",Le ruling fiscal.
Que signifie l'acronyme GEO dans le contexte de l'optimisation pour les moteurs de réponse par IA ?,Generative Engine Optimization.
Quel effet permet à un menteur de rejeter des preuves réelles en prétendant qu'il s'agit de deepfakes ?,Le Dividende du Menteur (Liar's Dividend).
Quel était l'objectif pédagogique du projet miHonyPOT ?,Démontrer la vulnérabilité des navigateurs à la surveillance.
"Selon des recherches récentes, combien de documents malveillants suffisent pour introduire un biais durable dans un LLM ?",Environ $250$.
Quel terme désigne la lutte pour la domination de la sphère de l'esprit (la noosphère) ?,La Noopolitique.
Quelle coalition gouvernementale belge a porté la réforme du chômage mettant fin aux allocations illimitées en 2026 ?,La coalition Arizona.
Quels sont les trois indicateurs constitutifs de l'Indice de Développement Humain (IDH) ?,"La santé, l'éducation et le niveau de vie."
"Selon le rapport du PNUD 2023-2024, quelle année a été la plus chaude jamais enregistrée ?",$2023$.
"Quelle notion introduite en 1994 désigne la capacité d'agir à l'abri de la peur, du besoin et de l'indignité ?",La sécurité humaine.
Quel pourcentage des pays les moins avancés ne s'est pas redressé après le recul de l'IDH en 2020 ou 2021 ?,$51 \%$.
Terme : Bien public mondial,Un objet ou une idée dont tout le monde peut profiter sans rivalité ni exclusivité.
Quelle sous-catégorie de biens publics mondiaux répond aux retombées transnationales ne pouvant être gérées aux frontières ?,Les biens publics planétaires.
"Dans la fourniture des biens publics, quel modèle dépend du succès du contributeur le moins compétent ?",Le modèle du maillon le plus faible (Weakest link).
Quel modèle de fourniture de bien public est illustré par la découverte d'un vaccin par un pays doté de technologies de pointe ?,Le modèle à la portée du meilleur (Best shot).
Quel est le seuil de distance défini pour les Zones Économiques Exclusives (ZEE) depuis le rivage ?,$200$ milles.
"Selon Elinor Ostrom, quel principe du droit international rend la coopération internationale plus difficile que la coopération locale ?",La règle de l'assentiment volontaire aux traités.
"Quel acronyme désigne les sociétés occidentales, éduquées, industrialisées, riches et démocratiques selon Joseph Henrich ?",WEIRD.
Comment se nomme la capacité humaine à coordonner des actions faisant intervenir des individus du monde entier ?,L'ultrasocialité.
Quel type de polarisation se traduit par une intolérance et une aversion pour le compromis dues à l'identification de groupe ?,La polarisation affective.
Quelle convention internationale oblige les pétroliers à séparer les réservoirs de pétrole des réservoirs d'eau de ballast ?,La Convention MARPOL.
Pourquoi le Canada n'a-t-il pas étendu sa ZEE au-delà des 200 milles malgré la surpêche étrangère dans les Grands Bancs ?,Par respect pour le droit coutumier international.
Quel concept d'Amartya Sen définit le développement comme l'expansion des libertés réelles dont jouissent les individus ?,Le développement par la liberté.
Comment appelle-t-on le détournement de bénéfices par les multinationales vers des pays à fiscalité nulle ou faible ?,Le transfert de bénéfices vers des paradis fiscaux.
Quel mécanisme financier a permis l'achat anticipé de vaccins par les pays à revenu élevé lors de la pandémie ?,Le mécanisme de garantie de marché.
Quelle institution a été créée en 1945 pour « nous sauver de l'enfer » selon Dag Hammarskjöld ?,L'Organisation des Nations Unies (ONU).
Quel événement de 1960 a transformé le maintien de la paix de l'ONU en combat offensif pour la première fois ?,La crise du Congo.
Quel terme de Joseph S. Nye désigne la capacité d'influencer par l'attraction plutôt que par la coercition ?,Le Soft Power.
